User,Average,std,zcr,centroid,rollof,mfcc1,mfcc2,mfcc3,mfcc4,mfcc5,mfcc6,mfcc7,mfcc8,mfcc9,mfcc10,mfcc11,mfcc12,mfcc13,mfcc14,label
AJ,-1.0797904224091326e-06,0.04431284964084625,1524.0,0.4410666161975592,0.14434821230290915,-476.4709777832031,103.58155822753906,33.05729675292969,28.69974136352539,13.995984077453613,4.247976779937744,-3.812040328979492,-3.391143321990967,1.008763313293457,10.438165664672852,-12.706686019897461,-3.264538049697876,1.1088645458221436,-4.235313415527344,1.0
AJ,-8.84881865204079e-06,0.04511145502328873,1664.0,0.4031382803170105,0.17615830115830117,-460.0552062988281,103.15348052978516,35.24676513671875,29.650667190551758,14.377415657043457,6.028019905090332,-3.264054536819458,-2.275001049041748,4.7767791748046875,10.434615135192871,-9.803011894226074,-3.021937847137451,1.3552507162094116,-3.522859573364258,1.0
AJ,4.4700013859255705e-06,0.04593691602349281,1222.0,0.45222016744011784,0.21949697080961997,-456.3948669433594,120.37995147705078,26.983686447143555,30.772706985473633,12.143366813659668,6.108150959014893,-4.166586875915527,-5.42160177230835,1.2683244943618774,11.187670707702637,-15.417580604553223,-4.798638820648193,2.8153367042541504,-5.014517307281494,1.0
AJ,1.040403549268376e-05,0.04502712935209274,1368.0,0.4841997177377999,0.23143274853801168,-470.0959167480469,106.37574005126953,31.487844467163086,31.29869842529297,10.635740280151367,6.268490791320801,-5.44951057434082,-4.728187561035156,1.1928530931472778,8.952130317687988,-13.81749439239502,-4.387303829193115,3.473928689956665,-4.93963098526001,1.0
AJ,3.643292984634172e-06,0.04357463866472244,1376.0,0.48682076327702783,0.2117153138744502,-479.22271728515625,105.9390869140625,33.91656494140625,31.761680603027344,15.02011489868164,7.3614583015441895,-3.541594982147217,-3.9236979484558105,4.6616644859313965,9.409252166748047,-11.012463569641113,-2.716822862625122,4.871188163757324,-3.648325204849243,1.0
AJ,2.8264859793125652e-05,0.05508698523044586,1218.0,0.1529667651769689,0.1845894409132183,-431.96343994140625,121.26721954345703,23.898616790771484,29.663896560668945,7.165809154510498,1.4521636962890625,-6.725675106048584,-8.767925262451172,0.7518208622932434,8.390654563903809,-18.044361114501953,-0.8787637948989868,1.0488958358764648,-8.223567962646484,1.0
AJ,1.9314347809995525e-05,0.05964798852801323,1464.0,0.07137009506135118,0.1465234644582471,-436.9783020019531,99.4037857055664,29.97783660888672,28.344100952148438,17.12579917907715,8.046476364135742,-4.643503189086914,-6.380388259887695,2.442701578140259,10.736932754516602,-12.554586410522461,-2.8947575092315674,0.822294294834137,-3.443444013595581,1.0
AJ,7.836695658625104e-06,0.05041246488690376,1332.0,0.46053538881396705,0.20381136950904394,-461.2216796875,101.91310119628906,25.987266540527344,29.9593505859375,18.73528289794922,7.859641075134277,-4.428464889526367,-5.577089786529541,2.486995220184326,10.691875457763672,-9.991190910339355,-1.1230956315994263,-0.6504730582237244,-2.6853675842285156,1.0
AJ,-7.922248187242076e-06,0.06034204363822937,1710.0,0.48788981923999575,0.30836632699422345,-424.755126953125,109.23373413085938,13.109463691711426,31.668397903442383,12.471196174621582,4.66431999206543,-3.2184531688690186,-6.501237869262695,-0.6835286617279053,9.588616371154785,-11.88002872467041,-0.7393510341644287,-1.1095964908599854,-5.426966190338135,1.0
AJ,5.1439365051919594e-05,0.06654961407184601,1920.0,0.114386606918833,0.2601464248361011,-415.6468811035156,97.32614135742188,28.30681800842285,32.55069351196289,13.485466003417969,10.50081729888916,-2.545236825942993,-1.2804487943649292,-1.213216781616211,10.03392505645752,-14.062244415283203,0.12057453393936157,0.010226661339402199,-4.151761531829834,1.0
AJ,1.0595037565508392e-05,0.06377235800027847,1658.0,0.48943604783609435,0.30666977611940294,-415.6656494140625,126.6525650024414,23.550914764404297,14.223053932189941,-3.466236114501953,-1.7186037302017212,-7.407960891723633,-6.388340950012207,1.0663999319076538,-0.7987424731254578,-13.21764087677002,-6.409392356872559,-0.34212610125541687,-6.340856075286865,1.0
